candidate_id,edge_id,stage_span,dy_um,L_lb_um,port_facing_wrap_penalty_um,minimum_bend_count_lb,source_facing,target_facing,source_away,target_away,source_xy,target_xy,source_access_xy,target_access_xy,estimated_edge_cost_db
e_7d3c5e522a64,stage:1:w0:waksman_8x8_s1_w0_2.th->waksman_8x8_s2_w0_4.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(261.0, 325.5)","(413.0, 250.5)","(293.0, 325.5)","(381.0, 250.5)",0.454
e_7d3c5e522a64,stage:1:w1:waksman_8x8_s1_w1_3.th->waksman_8x8_s2_w1_5.in:w1,1,192.0,344.0,0.0,2,E,W,False,False,"(261.0, 122.5)","(413.0, 314.5)","(293.0, 122.5)","(381.0, 314.5)",0.6880000000000001
e_7d3c5e522a64,stage:1:w2:waksman_8x8_s1_w0_2.drop->waksman_8x8_s2_w2_6.in:w2,1,181.0,413.0,64.0,2,W,W,True,False,"(245.0, 314.5)","(413.0, 133.5)","(213.0, 314.5)","(381.0, 133.5)",0.8260000000000001
e_7d3c5e522a64,stage:1:w3:waksman_8x8_s1_w1_3.drop->waksman_8x8_s2_w3_7.in:w3,1,64.0,296.0,64.0,2,W,W,True,False,"(245.0, 133.5)","(413.0, 197.5)","(213.0, 133.5)","(381.0, 197.5)",0.592
e_7d3c5e522a64,stage:1:w4:waksman_8x8_s1_w4_6.th->waksman_8x8_s2_w0_4.add:w4,1,192.0,424.0,64.0,2,E,E,False,True,"(261.0, 69.5)","(429.0, 261.5)","(293.0, 69.5)","(461.0, 261.5)",0.848
e_7d3c5e522a64,stage:1:w5:waksman_8x8_s1_w5_7.th->waksman_8x8_s2_w1_5.add:w5,1,53.0,285.0,64.0,2,E,E,False,True,"(261.0, 378.5)","(429.0, 325.5)","(293.0, 378.5)","(461.0, 325.5)",0.5700000000000001
e_7d3c5e522a64,stage:1:w6:waksman_8x8_s1_w4_6.drop->waksman_8x8_s2_w2_6.add:w6,1,64.0,376.0,128.0,2,W,E,True,True,"(245.0, 58.5)","(429.0, 122.5)","(213.0, 58.5)","(461.0, 122.5)",0.752
e_7d3c5e522a64,stage:1:w7:waksman_8x8_s1_w5_7.drop->waksman_8x8_s2_w3_7.add:w7,1,203.0,515.0,128.0,2,W,E,True,True,"(245.0, 389.5)","(429.0, 186.5)","(213.0, 389.5)","(461.0, 186.5)",1.03
e_7d3c5e522a64,stage:2:w0:waksman_8x8_s2_w0_4.th->waksman_8x8_s3_w0_2.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(429.0, 250.5)","(581.0, 325.5)","(461.0, 250.5)","(549.0, 325.5)",0.454
e_7d3c5e522a64,stage:2:w1:waksman_8x8_s2_w1_5.th->waksman_8x8_s3_w1_3.in:w1,1,192.0,344.0,0.0,2,E,W,False,False,"(429.0, 314.5)","(581.0, 122.5)","(461.0, 314.5)","(549.0, 122.5)",0.6880000000000001
e_7d3c5e522a64,stage:2:w2:waksman_8x8_s2_w2_6.th->waksman_8x8_s3_w0_2.add:w2,1,181.0,413.0,64.0,2,E,E,False,True,"(429.0, 133.5)","(597.0, 314.5)","(461.0, 133.5)","(629.0, 314.5)",0.8260000000000001
e_7d3c5e522a64,stage:2:w3:waksman_8x8_s2_w3_7.th->waksman_8x8_s3_w1_3.add:w3,1,64.0,296.0,64.0,2,E,E,False,True,"(429.0, 197.5)","(597.0, 133.5)","(461.0, 197.5)","(629.0, 133.5)",0.592
e_7d3c5e522a64,stage:3:w0:waksman_8x8_s3_w0_2.th->waksman_8x8_s4_w0_1.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(597.0, 325.5)","(749.0, 26.5)","(629.0, 325.5)","(717.0, 26.5)",0.902
e_7d3c5e522a64,stage:3:w1:waksman_8x8_s3_w1_3.th->waksman_8x8_s4_w0_1.add:w1,1,85.0,317.0,64.0,2,E,E,False,True,"(597.0, 122.5)","(765.0, 37.5)","(629.0, 122.5)","(797.0, 37.5)",0.634
e_7d3c5e522a64,stage:3:w2:waksman_8x8_s3_w0_2.drop->waksman_8x8_s4_w2_3.in:w2,1,160.0,392.0,64.0,2,W,W,True,False,"(581.0, 314.5)","(749.0, 154.5)","(549.0, 314.5)","(717.0, 154.5)",0.784
e_7d3c5e522a64,stage:3:w3:waksman_8x8_s3_w1_3.drop->waksman_8x8_s4_w2_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(581.0, 133.5)","(765.0, 165.5)","(549.0, 133.5)","(797.0, 165.5)",0.6880000000000001
e_7d3c5e522a64,stage:2:w4:waksman_8x8_s2_w0_4.drop->waksman_8x8_s4_w4_5.in:w4,2,21.0,421.0,64.0,2,W,W,True,False,"(413.0, 261.5)","(749.0, 282.5)","(381.0, 261.5)","(717.0, 282.5)",0.842
e_7d3c5e522a64,stage:2:w5:waksman_8x8_s2_w1_5.drop->waksman_8x8_s4_w4_5.add:w5,2,32.0,512.0,128.0,2,W,E,True,True,"(413.0, 325.5)","(765.0, 293.5)","(381.0, 325.5)","(797.0, 293.5)",1.024
e_7d3c5e522a64,output:waksman_8x8_s4_w0_1.th->w0,1,421.5,483.5,0.0,2,E,W,False,False,"(765.0, 26.5)","(827.0, 448.0)","(797.0, 26.5)","(827.0, 448.0)",0.967
e_7d3c5e522a64,output:waksman_8x8_s4_w0_1.drop->w1,1,346.5,488.5,64.0,2,W,W,True,False,"(749.0, 37.5)","(827.0, 384.0)","(717.0, 37.5)","(827.0, 384.0)",0.977
e_7d3c5e522a64,output:waksman_8x8_s4_w2_3.th->w2,1,165.5,227.5,0.0,2,E,W,False,False,"(765.0, 154.5)","(827.0, 320.0)","(797.0, 154.5)","(827.0, 320.0)",0.455
e_7d3c5e522a64,output:waksman_8x8_s4_w2_3.drop->w3,1,90.5,232.5,64.0,2,W,W,True,False,"(749.0, 165.5)","(827.0, 256.0)","(717.0, 165.5)","(827.0, 256.0)",0.465
e_7d3c5e522a64,output:waksman_8x8_s4_w4_5.th->w4,1,90.5,152.5,0.0,2,E,W,False,False,"(765.0, 282.5)","(827.0, 192.0)","(797.0, 282.5)","(827.0, 192.0)",0.305
e_7d3c5e522a64,output:waksman_8x8_s4_w4_5.drop->w5,1,165.5,307.5,64.0,2,W,W,True,False,"(749.0, 293.5)","(827.0, 128.0)","(717.0, 293.5)","(827.0, 128.0)",0.615
e_7d3c5e522a64,output:waksman_8x8_s2_w2_6.drop->w6,3,58.5,536.5,64.0,2,W,W,True,False,"(413.0, 122.5)","(827.0, 64.0)","(381.0, 122.5)","(827.0, 64.0)",1.073
e_7d3c5e522a64,output:waksman_8x8_s2_w3_7.drop->w7,3,186.5,664.5,64.0,2,W,W,True,False,"(413.0, 186.5)","(827.0, 0.0)","(381.0, 186.5)","(827.0, 0.0)",1.329
e_0690fb605745,input:w0->waksman_8x8_s0_w0_1.in,1,421.5,478.5,0.0,2,E,W,False,False,"(20.0, 448.0)","(77.0, 26.5)","(20.0, 448.0)","(45.0, 26.5)",0.9570000000000001
e_0690fb605745,input:w1->waksman_8x8_s0_w0_1.add,1,346.5,483.5,64.0,2,E,E,False,True,"(20.0, 384.0)","(93.0, 37.5)","(20.0, 384.0)","(125.0, 37.5)",0.967
e_0690fb605745,input:w2->waksman_8x8_s0_w2_3.in,1,165.5,222.5,0.0,2,E,W,False,False,"(20.0, 320.0)","(77.0, 154.5)","(20.0, 320.0)","(45.0, 154.5)",0.445
e_0690fb605745,input:w3->waksman_8x8_s0_w2_3.add,1,90.5,227.5,64.0,2,E,E,False,True,"(20.0, 256.0)","(93.0, 165.5)","(20.0, 256.0)","(125.0, 165.5)",0.455
e_0690fb605745,input:w4->waksman_8x8_s0_w4_5.in,1,90.5,147.5,0.0,2,E,W,False,False,"(20.0, 192.0)","(77.0, 282.5)","(20.0, 192.0)","(45.0, 282.5)",0.295
e_0690fb605745,input:w5->waksman_8x8_s0_w4_5.add,1,165.5,302.5,64.0,2,E,E,False,True,"(20.0, 128.0)","(93.0, 293.5)","(20.0, 128.0)","(125.0, 293.5)",0.605
e_0690fb605745,input:w6->waksman_8x8_s0_w6_7.in,1,346.5,403.5,0.0,2,E,W,False,False,"(20.0, 64.0)","(77.0, 410.5)","(20.0, 64.0)","(45.0, 410.5)",0.807
e_0690fb605745,input:w7->waksman_8x8_s0_w6_7.add,1,421.5,558.5,64.0,2,E,E,False,True,"(20.0, 0.0)","(93.0, 421.5)","(20.0, 0.0)","(125.0, 421.5)",1.117
e_0690fb605745,stage:0:w0:waksman_8x8_s0_w0_1.th->waksman_8x8_s1_w0_2.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(93.0, 26.5)","(245.0, 325.5)","(125.0, 26.5)","(213.0, 325.5)",0.902
e_0690fb605745,stage:0:w1:waksman_8x8_s0_w0_1.drop->waksman_8x8_s1_w1_3.in:w1,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 37.5)","(245.0, 122.5)","(45.0, 37.5)","(213.0, 122.5)",0.634
e_0690fb605745,stage:0:w2:waksman_8x8_s0_w2_3.th->waksman_8x8_s1_w0_2.add:w2,1,160.0,392.0,64.0,2,E,E,False,True,"(93.0, 154.5)","(261.0, 314.5)","(125.0, 154.5)","(293.0, 314.5)",0.784
e_0690fb605745,stage:0:w3:waksman_8x8_s0_w2_3.drop->waksman_8x8_s1_w1_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 165.5)","(261.0, 133.5)","(45.0, 165.5)","(293.0, 133.5)",0.6880000000000001
e_0690fb605745,stage:0:w4:waksman_8x8_s0_w4_5.th->waksman_8x8_s1_w4_6.in:w4,1,213.0,365.0,0.0,2,E,W,False,False,"(93.0, 282.5)","(245.0, 69.5)","(125.0, 282.5)","(213.0, 69.5)",0.73
e_0690fb605745,stage:0:w5:waksman_8x8_s0_w4_5.drop->waksman_8x8_s1_w5_7.in:w5,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 293.5)","(245.0, 378.5)","(45.0, 293.5)","(213.0, 378.5)",0.634
e_0690fb605745,stage:0:w6:waksman_8x8_s0_w6_7.th->waksman_8x8_s1_w4_6.add:w6,1,352.0,584.0,64.0,2,E,E,False,True,"(93.0, 410.5)","(261.0, 58.5)","(125.0, 410.5)","(293.0, 58.5)",1.168
e_0690fb605745,stage:0:w7:waksman_8x8_s0_w6_7.drop->waksman_8x8_s1_w5_7.add:w7,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 421.5)","(261.0, 389.5)","(45.0, 421.5)","(293.0, 389.5)",0.6880000000000001
e_0690fb605745,stage:1:w0:waksman_8x8_s1_w0_2.th->waksman_8x8_s2_w0_4.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(261.0, 325.5)","(413.0, 250.5)","(293.0, 325.5)","(381.0, 250.5)",0.454
e_0690fb605745,stage:1:w1:waksman_8x8_s1_w1_3.th->waksman_8x8_s2_w1_5.in:w1,1,203.0,355.0,0.0,2,E,W,False,False,"(261.0, 122.5)","(413.0, 325.5)","(293.0, 122.5)","(381.0, 325.5)",0.71
e_0690fb605745,stage:1:w2:waksman_8x8_s1_w0_2.drop->waksman_8x8_s2_w2_6.in:w2,1,181.0,413.0,64.0,2,W,W,True,False,"(245.0, 314.5)","(413.0, 133.5)","(213.0, 314.5)","(381.0, 133.5)",0.8260000000000001
e_0690fb605745,stage:1:w3:waksman_8x8_s1_w1_3.drop->waksman_8x8_s2_w3_7.in:w3,1,53.0,285.0,64.0,2,W,W,True,False,"(245.0, 133.5)","(413.0, 186.5)","(213.0, 133.5)","(381.0, 186.5)",0.5700000000000001
e_0690fb605745,stage:1:w4:waksman_8x8_s1_w4_6.th->waksman_8x8_s2_w0_4.add:w4,1,192.0,424.0,64.0,2,E,E,False,True,"(261.0, 69.5)","(429.0, 261.5)","(293.0, 69.5)","(461.0, 261.5)",0.848
e_0690fb605745,stage:1:w5:waksman_8x8_s1_w5_7.th->waksman_8x8_s2_w1_5.add:w5,1,64.0,296.0,64.0,2,E,E,False,True,"(261.0, 378.5)","(429.0, 314.5)","(293.0, 378.5)","(461.0, 314.5)",0.592
e_0690fb605745,stage:1:w6:waksman_8x8_s1_w4_6.drop->waksman_8x8_s2_w2_6.add:w6,1,64.0,376.0,128.0,2,W,E,True,True,"(245.0, 58.5)","(429.0, 122.5)","(213.0, 58.5)","(461.0, 122.5)",0.752
e_0690fb605745,stage:1:w7:waksman_8x8_s1_w5_7.drop->waksman_8x8_s2_w3_7.add:w7,1,192.0,504.0,128.0,2,W,E,True,True,"(245.0, 389.5)","(429.0, 197.5)","(213.0, 389.5)","(461.0, 197.5)",1.008
e_0690fb605745,stage:2:w0:waksman_8x8_s2_w0_4.th->waksman_8x8_s3_w0_2.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(429.0, 250.5)","(581.0, 325.5)","(461.0, 250.5)","(549.0, 325.5)",0.454
e_0690fb605745,stage:2:w1:waksman_8x8_s2_w1_5.th->waksman_8x8_s3_w1_3.in:w1,1,203.0,355.0,0.0,2,E,W,False,False,"(429.0, 325.5)","(581.0, 122.5)","(461.0, 325.5)","(549.0, 122.5)",0.71
e_0690fb605745,stage:2:w2:waksman_8x8_s2_w2_6.th->waksman_8x8_s3_w0_2.add:w2,1,181.0,413.0,64.0,2,E,E,False,True,"(429.0, 133.5)","(597.0, 314.5)","(461.0, 133.5)","(629.0, 314.5)",0.8260000000000001
e_0690fb605745,stage:2:w3:waksman_8x8_s2_w3_7.th->waksman_8x8_s3_w1_3.add:w3,1,53.0,285.0,64.0,2,E,E,False,True,"(429.0, 186.5)","(597.0, 133.5)","(461.0, 186.5)","(629.0, 133.5)",0.5700000000000001
e_0690fb605745,stage:3:w0:waksman_8x8_s3_w0_2.th->waksman_8x8_s4_w0_1.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(597.0, 325.5)","(749.0, 26.5)","(629.0, 325.5)","(717.0, 26.5)",0.902
e_0690fb605745,stage:3:w1:waksman_8x8_s3_w1_3.th->waksman_8x8_s4_w0_1.add:w1,1,85.0,317.0,64.0,2,E,E,False,True,"(597.0, 122.5)","(765.0, 37.5)","(629.0, 122.5)","(797.0, 37.5)",0.634
e_0690fb605745,stage:3:w2:waksman_8x8_s3_w0_2.drop->waksman_8x8_s4_w2_3.in:w2,1,160.0,392.0,64.0,2,W,W,True,False,"(581.0, 314.5)","(749.0, 154.5)","(549.0, 314.5)","(717.0, 154.5)",0.784
e_0690fb605745,stage:3:w3:waksman_8x8_s3_w1_3.drop->waksman_8x8_s4_w2_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(581.0, 133.5)","(765.0, 165.5)","(549.0, 133.5)","(797.0, 165.5)",0.6880000000000001
e_0690fb605745,stage:2:w4:waksman_8x8_s2_w0_4.drop->waksman_8x8_s4_w4_5.in:w4,2,21.0,421.0,64.0,2,W,W,True,False,"(413.0, 261.5)","(749.0, 282.5)","(381.0, 261.5)","(717.0, 282.5)",0.842
e_0690fb605745,stage:2:w5:waksman_8x8_s2_w1_5.drop->waksman_8x8_s4_w4_5.add:w5,2,21.0,501.0,128.0,2,W,E,True,True,"(413.0, 314.5)","(765.0, 293.5)","(381.0, 314.5)","(797.0, 293.5)",1.002
e_0690fb605745,output:waksman_8x8_s4_w0_1.th->w0,1,421.5,483.5,0.0,2,E,W,False,False,"(765.0, 26.5)","(827.0, 448.0)","(797.0, 26.5)","(827.0, 448.0)",0.967
e_0690fb605745,output:waksman_8x8_s4_w0_1.drop->w1,1,346.5,488.5,64.0,2,W,W,True,False,"(749.0, 37.5)","(827.0, 384.0)","(717.0, 37.5)","(827.0, 384.0)",0.977
e_0690fb605745,output:waksman_8x8_s4_w2_3.th->w2,1,165.5,227.5,0.0,2,E,W,False,False,"(765.0, 154.5)","(827.0, 320.0)","(797.0, 154.5)","(827.0, 320.0)",0.455
e_0690fb605745,output:waksman_8x8_s4_w2_3.drop->w3,1,90.5,232.5,64.0,2,W,W,True,False,"(749.0, 165.5)","(827.0, 256.0)","(717.0, 165.5)","(827.0, 256.0)",0.465
e_0690fb605745,output:waksman_8x8_s4_w4_5.th->w4,1,90.5,152.5,0.0,2,E,W,False,False,"(765.0, 282.5)","(827.0, 192.0)","(797.0, 282.5)","(827.0, 192.0)",0.305
e_0690fb605745,output:waksman_8x8_s4_w4_5.drop->w5,1,165.5,307.5,64.0,2,W,W,True,False,"(749.0, 293.5)","(827.0, 128.0)","(717.0, 293.5)","(827.0, 128.0)",0.615
e_0690fb605745,output:waksman_8x8_s2_w2_6.drop->w6,3,58.5,536.5,64.0,2,W,W,True,False,"(413.0, 122.5)","(827.0, 64.0)","(381.0, 122.5)","(827.0, 64.0)",1.073
e_0690fb605745,output:waksman_8x8_s2_w3_7.drop->w7,3,197.5,675.5,64.0,2,W,W,True,False,"(413.0, 197.5)","(827.0, 0.0)","(381.0, 197.5)","(827.0, 0.0)",1.351
e_be35b10a4c1c,input:w0->waksman_8x8_s0_w0_1.in,1,421.5,478.5,0.0,2,E,W,False,False,"(20.0, 448.0)","(77.0, 26.5)","(20.0, 448.0)","(45.0, 26.5)",0.9570000000000001
e_be35b10a4c1c,input:w1->waksman_8x8_s0_w0_1.add,1,346.5,483.5,64.0,2,E,E,False,True,"(20.0, 384.0)","(93.0, 37.5)","(20.0, 384.0)","(125.0, 37.5)",0.967
e_be35b10a4c1c,input:w2->waksman_8x8_s0_w2_3.in,1,165.5,222.5,0.0,2,E,W,False,False,"(20.0, 320.0)","(77.0, 154.5)","(20.0, 320.0)","(45.0, 154.5)",0.445
e_be35b10a4c1c,input:w3->waksman_8x8_s0_w2_3.add,1,90.5,227.5,64.0,2,E,E,False,True,"(20.0, 256.0)","(93.0, 165.5)","(20.0, 256.0)","(125.0, 165.5)",0.455
e_be35b10a4c1c,input:w4->waksman_8x8_s0_w4_5.in,1,90.5,147.5,0.0,2,E,W,False,False,"(20.0, 192.0)","(77.0, 282.5)","(20.0, 192.0)","(45.0, 282.5)",0.295
e_be35b10a4c1c,input:w5->waksman_8x8_s0_w4_5.add,1,165.5,302.5,64.0,2,E,E,False,True,"(20.0, 128.0)","(93.0, 293.5)","(20.0, 128.0)","(125.0, 293.5)",0.605
e_be35b10a4c1c,input:w6->waksman_8x8_s0_w6_7.in,1,346.5,403.5,0.0,2,E,W,False,False,"(20.0, 64.0)","(77.0, 410.5)","(20.0, 64.0)","(45.0, 410.5)",0.807
e_be35b10a4c1c,input:w7->waksman_8x8_s0_w6_7.add,1,421.5,558.5,64.0,2,E,E,False,True,"(20.0, 0.0)","(93.0, 421.5)","(20.0, 0.0)","(125.0, 421.5)",1.117
e_be35b10a4c1c,stage:0:w0:waksman_8x8_s0_w0_1.th->waksman_8x8_s1_w0_2.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(93.0, 26.5)","(245.0, 325.5)","(125.0, 26.5)","(213.0, 325.5)",0.902
e_be35b10a4c1c,stage:0:w1:waksman_8x8_s0_w0_1.drop->waksman_8x8_s1_w1_3.in:w1,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 37.5)","(245.0, 122.5)","(45.0, 37.5)","(213.0, 122.5)",0.634
e_be35b10a4c1c,stage:0:w2:waksman_8x8_s0_w2_3.th->waksman_8x8_s1_w0_2.add:w2,1,160.0,392.0,64.0,2,E,E,False,True,"(93.0, 154.5)","(261.0, 314.5)","(125.0, 154.5)","(293.0, 314.5)",0.784
e_be35b10a4c1c,stage:0:w3:waksman_8x8_s0_w2_3.drop->waksman_8x8_s1_w1_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 165.5)","(261.0, 133.5)","(45.0, 165.5)","(293.0, 133.5)",0.6880000000000001
e_be35b10a4c1c,stage:0:w4:waksman_8x8_s0_w4_5.th->waksman_8x8_s1_w4_6.in:w4,1,213.0,365.0,0.0,2,E,W,False,False,"(93.0, 282.5)","(245.0, 69.5)","(125.0, 282.5)","(213.0, 69.5)",0.73
e_be35b10a4c1c,stage:0:w5:waksman_8x8_s0_w4_5.drop->waksman_8x8_s1_w5_7.in:w5,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 293.5)","(245.0, 378.5)","(45.0, 293.5)","(213.0, 378.5)",0.634
e_be35b10a4c1c,stage:0:w6:waksman_8x8_s0_w6_7.th->waksman_8x8_s1_w4_6.add:w6,1,352.0,584.0,64.0,2,E,E,False,True,"(93.0, 410.5)","(261.0, 58.5)","(125.0, 410.5)","(293.0, 58.5)",1.168
e_be35b10a4c1c,stage:0:w7:waksman_8x8_s0_w6_7.drop->waksman_8x8_s1_w5_7.add:w7,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 421.5)","(261.0, 389.5)","(45.0, 421.5)","(293.0, 389.5)",0.6880000000000001
e_be35b10a4c1c,stage:1:w0:waksman_8x8_s1_w0_2.th->waksman_8x8_s2_w0_4.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(261.0, 325.5)","(413.0, 250.5)","(293.0, 325.5)","(381.0, 250.5)",0.454
e_be35b10a4c1c,stage:1:w1:waksman_8x8_s1_w1_3.th->waksman_8x8_s2_w1_5.in:w1,1,203.0,355.0,0.0,2,E,W,False,False,"(261.0, 122.5)","(413.0, 325.5)","(293.0, 122.5)","(381.0, 325.5)",0.71
e_be35b10a4c1c,stage:1:w2:waksman_8x8_s1_w0_2.drop->waksman_8x8_s2_w2_6.in:w2,1,181.0,413.0,64.0,2,W,W,True,False,"(245.0, 314.5)","(413.0, 133.5)","(213.0, 314.5)","(381.0, 133.5)",0.8260000000000001
e_be35b10a4c1c,stage:1:w3:waksman_8x8_s1_w1_3.drop->waksman_8x8_s2_w3_7.in:w3,1,64.0,296.0,64.0,2,W,W,True,False,"(245.0, 133.5)","(413.0, 197.5)","(213.0, 133.5)","(381.0, 197.5)",0.592
e_be35b10a4c1c,stage:1:w4:waksman_8x8_s1_w4_6.th->waksman_8x8_s2_w0_4.add:w4,1,192.0,424.0,64.0,2,E,E,False,True,"(261.0, 69.5)","(429.0, 261.5)","(293.0, 69.5)","(461.0, 261.5)",0.848
e_be35b10a4c1c,stage:1:w5:waksman_8x8_s1_w5_7.th->waksman_8x8_s2_w1_5.add:w5,1,64.0,296.0,64.0,2,E,E,False,True,"(261.0, 378.5)","(429.0, 314.5)","(293.0, 378.5)","(461.0, 314.5)",0.592
e_be35b10a4c1c,stage:1:w6:waksman_8x8_s1_w4_6.drop->waksman_8x8_s2_w2_6.add:w6,1,64.0,376.0,128.0,2,W,E,True,True,"(245.0, 58.5)","(429.0, 122.5)","(213.0, 58.5)","(461.0, 122.5)",0.752
e_be35b10a4c1c,stage:1:w7:waksman_8x8_s1_w5_7.drop->waksman_8x8_s2_w3_7.add:w7,1,203.0,515.0,128.0,2,W,E,True,True,"(245.0, 389.5)","(429.0, 186.5)","(213.0, 389.5)","(461.0, 186.5)",1.03
e_be35b10a4c1c,stage:2:w0:waksman_8x8_s2_w0_4.th->waksman_8x8_s3_w0_2.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(429.0, 250.5)","(581.0, 325.5)","(461.0, 250.5)","(549.0, 325.5)",0.454
e_be35b10a4c1c,stage:2:w1:waksman_8x8_s2_w1_5.th->waksman_8x8_s3_w1_3.in:w1,1,203.0,355.0,0.0,2,E,W,False,False,"(429.0, 325.5)","(581.0, 122.5)","(461.0, 325.5)","(549.0, 122.5)",0.71
e_be35b10a4c1c,stage:2:w2:waksman_8x8_s2_w2_6.th->waksman_8x8_s3_w0_2.add:w2,1,181.0,413.0,64.0,2,E,E,False,True,"(429.0, 133.5)","(597.0, 314.5)","(461.0, 133.5)","(629.0, 314.5)",0.8260000000000001
e_be35b10a4c1c,stage:2:w3:waksman_8x8_s2_w3_7.th->waksman_8x8_s3_w1_3.add:w3,1,64.0,296.0,64.0,2,E,E,False,True,"(429.0, 197.5)","(597.0, 133.5)","(461.0, 197.5)","(629.0, 133.5)",0.592
e_be35b10a4c1c,stage:3:w0:waksman_8x8_s3_w0_2.th->waksman_8x8_s4_w0_1.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(597.0, 325.5)","(749.0, 26.5)","(629.0, 325.5)","(717.0, 26.5)",0.902
e_be35b10a4c1c,stage:3:w1:waksman_8x8_s3_w1_3.th->waksman_8x8_s4_w0_1.add:w1,1,85.0,317.0,64.0,2,E,E,False,True,"(597.0, 122.5)","(765.0, 37.5)","(629.0, 122.5)","(797.0, 37.5)",0.634
e_be35b10a4c1c,stage:3:w2:waksman_8x8_s3_w0_2.drop->waksman_8x8_s4_w2_3.in:w2,1,160.0,392.0,64.0,2,W,W,True,False,"(581.0, 314.5)","(749.0, 154.5)","(549.0, 314.5)","(717.0, 154.5)",0.784
e_be35b10a4c1c,stage:3:w3:waksman_8x8_s3_w1_3.drop->waksman_8x8_s4_w2_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(581.0, 133.5)","(765.0, 165.5)","(549.0, 133.5)","(797.0, 165.5)",0.6880000000000001
e_be35b10a4c1c,stage:2:w4:waksman_8x8_s2_w0_4.drop->waksman_8x8_s4_w4_5.in:w4,2,21.0,421.0,64.0,2,W,W,True,False,"(413.0, 261.5)","(749.0, 282.5)","(381.0, 261.5)","(717.0, 282.5)",0.842
e_be35b10a4c1c,stage:2:w5:waksman_8x8_s2_w1_5.drop->waksman_8x8_s4_w4_5.add:w5,2,21.0,501.0,128.0,2,W,E,True,True,"(413.0, 314.5)","(765.0, 293.5)","(381.0, 314.5)","(797.0, 293.5)",1.002
e_be35b10a4c1c,output:waksman_8x8_s4_w0_1.th->w0,1,421.5,483.5,0.0,2,E,W,False,False,"(765.0, 26.5)","(827.0, 448.0)","(797.0, 26.5)","(827.0, 448.0)",0.967
e_be35b10a4c1c,output:waksman_8x8_s4_w0_1.drop->w1,1,346.5,488.5,64.0,2,W,W,True,False,"(749.0, 37.5)","(827.0, 384.0)","(717.0, 37.5)","(827.0, 384.0)",0.977
e_be35b10a4c1c,output:waksman_8x8_s4_w2_3.th->w2,1,165.5,227.5,0.0,2,E,W,False,False,"(765.0, 154.5)","(827.0, 320.0)","(797.0, 154.5)","(827.0, 320.0)",0.455
e_be35b10a4c1c,output:waksman_8x8_s4_w2_3.drop->w3,1,90.5,232.5,64.0,2,W,W,True,False,"(749.0, 165.5)","(827.0, 256.0)","(717.0, 165.5)","(827.0, 256.0)",0.465
e_be35b10a4c1c,output:waksman_8x8_s4_w4_5.th->w4,1,90.5,152.5,0.0,2,E,W,False,False,"(765.0, 282.5)","(827.0, 192.0)","(797.0, 282.5)","(827.0, 192.0)",0.305
e_be35b10a4c1c,output:waksman_8x8_s4_w4_5.drop->w5,1,165.5,307.5,64.0,2,W,W,True,False,"(749.0, 293.5)","(827.0, 128.0)","(717.0, 293.5)","(827.0, 128.0)",0.615
e_be35b10a4c1c,output:waksman_8x8_s2_w2_6.drop->w6,3,58.5,536.5,64.0,2,W,W,True,False,"(413.0, 122.5)","(827.0, 64.0)","(381.0, 122.5)","(827.0, 64.0)",1.073
e_be35b10a4c1c,output:waksman_8x8_s2_w3_7.drop->w7,3,186.5,664.5,64.0,2,W,W,True,False,"(413.0, 186.5)","(827.0, 0.0)","(381.0, 186.5)","(827.0, 0.0)",1.329
e_b5af2e93a35b,input:w0->waksman_8x8_s0_w0_1.in,1,421.5,478.5,0.0,2,E,W,False,False,"(20.0, 448.0)","(77.0, 26.5)","(20.0, 448.0)","(45.0, 26.5)",0.9570000000000001
e_b5af2e93a35b,input:w1->waksman_8x8_s0_w0_1.add,1,346.5,483.5,64.0,2,E,E,False,True,"(20.0, 384.0)","(93.0, 37.5)","(20.0, 384.0)","(125.0, 37.5)",0.967
